exemplo True 0 
ponte True 2 
pseudografo True 3 
digrafo True 1 
digrafo True 1 0.16666666666666666 
digrafo True 1 0.08333333333333333 
digrafo True 1 0.08333333333333333 
digrafo True 1 0.08333333333333333 
digrafo True 1 0.08333333333333333 
digrafo True 1 0.25 
ponte True 2 2.3333333333333335 
zachary True 0 0.27807486631016043 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
ponte True 2 2.3333333333333335 
ponte True 2 2.3333333333333335 
ponte True 2 2.3333333333333335 
ponte True 2 2.3333333333333335 
ponte True 2 2.3333333333333335 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
exemplo True 0 0.8571428571428571 
